date,experiment,target,library,antibody,concentration,sort_bin,selection,sample,experiment_type,number_cells,frac_escape,R1
230622,exptREF2,Omicron_BQ11,lib57,none,0,ref,reference,exptREF2-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X73_230712_A00421_0570_BHFTYKDRX3_S73_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X73_230712_A00421_0570_BHFTYKDRX3_S73_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X74_230712_A00421_0570_BHFTYKDRX3_S74_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X74_230712_A00421_0570_BHFTYKDRX3_S74_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X75_230712_A00421_0570_BHFTYKDRX3_S75_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X75_230712_A00421_0570_BHFTYKDRX3_S75_L002_R1_001.fastq.gz
230622,exptREF2,Omicron_BQ11,lib58,none,0,ref,reference,exptREF2-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X76_230712_A00421_0570_BHFTYKDRX3_S76_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X76_230712_A00421_0570_BHFTYKDRX3_S76_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X77_230712_A00421_0570_BHFTYKDRX3_S77_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X77_230712_A00421_0570_BHFTYKDRX3_S77_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X78_230712_A00421_0570_BHFTYKDRX3_S78_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X78_230712_A00421_0570_BHFTYKDRX3_S78_L002_R1_001.fastq.gz
230622,expt1,Omicron_BQ11,lib57,S2V29_v37_2,52,abneg,escape,expt1-S2V29_v37_2-52-abneg,ab_selection,328000,0.082,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X29_230712_A00421_0570_BHFTYKDRX3_S29_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X29_230712_A00421_0570_BHFTYKDRX3_S29_L002_R1_001.fastq.gz
230622,expt1,Omicron_BQ11,lib58,S2V29_v37_2,52,abneg,escape,expt1-S2V29_v37_2-52-abneg,ab_selection,264000,0.066,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X30_230712_A00421_0570_BHFTYKDRX3_S30_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X30_230712_A00421_0570_BHFTYKDRX3_S30_L002_R1_001.fastq.gz
230615,exptREF,Omicron_BQ11,lib57,none,0,ref,reference,exptREF-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X73_230712_A00421_0570_BHFTYKDRX3_S73_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X73_230712_A00421_0570_BHFTYKDRX3_S73_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X74_230712_A00421_0570_BHFTYKDRX3_S74_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X74_230712_A00421_0570_BHFTYKDRX3_S74_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X75_230712_A00421_0570_BHFTYKDRX3_S75_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X75_230712_A00421_0570_BHFTYKDRX3_S75_L002_R1_001.fastq.gz
230615,exptREF,Omicron_BQ11,lib58,none,0,ref,reference,exptREF-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X76_230712_A00421_0570_BHFTYKDRX3_S76_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X76_230712_A00421_0570_BHFTYKDRX3_S76_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X77_230712_A00421_0570_BHFTYKDRX3_S77_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X77_230712_A00421_0570_BHFTYKDRX3_S77_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X78_230712_A00421_0570_BHFTYKDRX3_S78_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X78_230712_A00421_0570_BHFTYKDRX3_S78_L002_R1_001.fastq.gz
230615,expt1,Omicron_BQ11,lib57,S2K146,222,abneg,escape,expt1-S2K146-222-abneg,ab_selection,860000,0.215,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X13_230712_A00421_0570_BHFTYKDRX3_S13_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X13_230712_A00421_0570_BHFTYKDRX3_S13_L002_R1_001.fastq.gz
230615,expt1,Omicron_BQ11,lib58,S2K146,222,abneg,escape,expt1-S2K146-222-abneg,ab_selection,896000,0.224,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X14_230712_A00421_0570_BHFTYKDRX3_S14_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X14_230712_A00421_0570_BHFTYKDRX3_S14_L002_R1_001.fastq.gz
230615,expt4,Omicron_BQ11,lib57,S2V29,42,abneg,escape,expt4-S2V29-42-abneg,ab_selection,528000,0.132,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X19_230712_A00421_0570_BHFTYKDRX3_S19_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X19_230712_A00421_0570_BHFTYKDRX3_S19_L002_R1_001.fastq.gz
230615,expt4,Omicron_BQ11,lib58,S2V29,42,abneg,escape,expt4-S2V29-42-abneg,ab_selection,512000,0.128,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X20_230712_A00421_0570_BHFTYKDRX3_S20_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X20_230712_A00421_0570_BHFTYKDRX3_S20_L002_R1_001.fastq.gz
